_id,title,link,source,bias_reason,factual,mudslinging,omission of source,opinion statements presented as fact,sensationalism,spin,factual_true,mudslinging_true,omission of source_true,opinion statements presented as fact_true,sensationalism_true,spin_true
674749fcdc1026a08264be1e,Gandapur says PTI sit-in 'still ongoing' as 954 protesters arrested; govt claims daily Rs190bn loss to economy,https://www.dawn.com/news/1875102/gandapur-says-pti-sit-in-still-ongoing-as-954-protesters-arrested-govt-claims-daily-rs190bn-loss-to-economy,Dawn,"The article uses dramatic language to describe the events, such as ""high-stakes"", ""hasty retreat"", ""murderous intent"", and ""slaughterhouse"".  It also presents claims without sufficient evidence, for example, the PTI's claim of 8 deaths and the government's claim of a Rs190 billion loss to the economy. The article uses subjective modifiers, like ""unarmed citizens"", ""brutal murder"", and ""terror and brutality"", without providing objective evidence to support these claims.  Further, the article engages in mudslinging by quoting one side's accusations against the other without providing balanced reporting.  Finally, several claims are made without clear attribution, such as ""critics say"" and ""experts believe"" without specifying the critics or experts.  While the article quotes individuals using inflammatory language, the lack of context and challenge to those statements contributes to the overall biased presentation.",0,1,1,0,1,1,,,,,,
674749fcdc1026a08264be1f,Justice Sial refuses to be part of SHC constitutional bench,https://www.dawn.com/news/1874997/justice-sial-refuses-to-be-part-of-shc-constitutional-bench,Dawn,"The article presents a factual account of Justice Sial's recusal from the Sindh High Court's constitutional bench, citing his concerns about the selection process.  It objectively reports his letter to Justice Agha, detailing his arguments for seniority-based selection and highlighting the opinions of other judges. The article provides specific details, including the seniority numbers of the judges on the bench, the number of pending cases, and the relevant amendment.  No subjective language, sensationalism, or unsupported claims are present. The article quotes Justice Sial's letter directly without editorializing or amplifying the content.",1,0,0,0,0,0,,,,,,
674749fcdc1026a08264be20,Clashes in Kurram claim three more lives,https://www.dawn.com/news/1875059/clashes-in-kurram-claim-three-more-lives,Dawn,"The article reports on the events in a neutral tone, providing factual information and attributing sources. It avoids subjective language, sensationalism, or opinionated statements. The article cites officials and medical superintendents as sources, supporting its claims with verifiable information.",1,0,0,0,0,0,,,,,,
674749fcdc1026a08264be21,Peshawar registers highest number of cases as dengue remains on prowl,https://www.dawn.com/news/1874972/peshawar-registers-highest-number-of-cases-as-dengue-remains-on-prowl,Dawn,"The article presents factual information about the dengue fever outbreak in Khyber Pakhtunkhwa, providing specific numbers of cases, locations, and symptoms.  It cites a health department report and includes statements from health officials. The article maintains an objective tone and avoids subjective language or sensationalism.",1,0,0,0,0,0,,,,,,
674749fcdc1026a08264be22,Three terrorists killed trying to cross into North Waziristan: ISPR,https://www.dawn.com/news/1875058/three-terrorists-killed-trying-to-cross-into-north-waziristan-ispr,Dawn,"The article reports on events using objective language, provides specific details (dates, locations, names), and attributes information to credible sources like the ISPR and police officials.  There is no evidence of spin, sensationalism, mudslinging, or omission of sources. The reporting is balanced and presents the events factually.",1,0,0,0,0,0,,,,,,
674749fcdc1026a08264be23,SC rejects JI plea on Panamagate for not being 'live issue',https://www.dawn.com/news/1875060/sc-rejects-ji-plea-on-panamagate-for-not-being-live-issue,Dawn,"The article reports on a court case in a neutral and objective manner. It presents the arguments of both sides, quotes justices' observations, and summarizes the court's decision without expressing any subjective opinions or using sensational language.  The article relies on factual information, such as the dates of court hearings and the names of involved parties, and accurately reflects the proceedings. There is no evidence of spin, opinion presented as fact, sensationalism, mudslinging, or omission of source.",1,0,0,0,0,0,,,,,,
674749fcdc1026a08264be24,'No more talks' as govt vows decisive action against PTI protesters,https://www.dawn.com/news/1875000/no-more-talks-as-govt-vows-decisive-action-against-pti-protesters,Dawn,"The article uses strong accusatory language towards PTI protesters and leadership, particularly targeting Bushra Bibi.  Terms like ""orchestrator of violence,""  ""sending children and laborers to the front lines,"" and accusations of using KP government resources for tear gas are examples of mudslinging.  The description of the situation as a 'battleground' and the use of phrases like 'shoot on sight' and 'reneging on the agreement' are sensational and create a dramatic narrative.  The claim that the government exercised 'utmost restraint' while simultaneously describing the deployment of the army and authorization for 'shoot on sight' is contradictory and suggestive of spin.",0,1,0,0,1,1,,,,,,
674749fcdc1026a08264be25,"Judiciary must confront authoritarianism without delay, says Justice Shah",https://www.dawn.com/news/1875057/judiciary-must-confront-authoritarianism-without-delay-says-justice-shah,Dawn,"The article presents Justice Shah's views on the judiciary's role in confronting authoritarianism, using quotes and references to support its claims.  It does not employ sensational language, personal attacks, or unsupported claims. The article maintains objectivity by presenting Justice Shah's perspective without overt editorializing or bias.",1,0,0,0,0,0,,,,,,
67474a77dc1026a08264be26,In pictures: Islamabad a day after violent PTI protests,https://www.geo.tv/latest/576601-in-pictures-islamabad-a-day-after-violent-pti-protests,Geo,"The article presents a factual account of the events, reporting on the protest, the government's response, and the aftermath. It includes details from both sides, mentioning the PTI's claims and the government's official statements on casualties.  The article relies on direct quotes and attributes claims to specific sources, maintaining objectivity. There is no evidence of spin, sensationalism, or subjective opinion presented as fact.",1,0,0,0,0,0,,,,,,
67474a77dc1026a08264be27,ATC rejects Imran Khan's bail pleas in eight May 9 cases,https://www.geo.tv/latest/576613-atc-rejects-imran-khans-bail-plea-in-eight-may-9-cases,Geo,"The article presents a factual account of the court's decision regarding Imran Khan's bail pleas, citing specific cases and including details of the events and the legal proceedings.  It uses neutral language, attributes information to sources, and avoids subjective interpretations or opinions. While it mentions the government releasing CCTV footage, it does so in a neutral manner, presenting it as evidence in the case rather than as a biased piece of information.",1,0,0,0,0,0,,,,,,
